id,y_true,y_pred,absolute_error
1734717251.87668,270.0,291.00209870551987,21.00209870551987
1734717256.887168,114.0,88.07153288021792,25.928467119782084
1734717261.897446,96.0,61.073899384171284,34.926100615828716
1734717266.907435,273.0,258.5873382278404,14.412661772159595
1734717271.917527,108.0,105.2050782794165,2.7949217205835026
1734717276.927123,139.0,125.30004147454359,13.69995852545641
1734717281.936808,288.0,209.09168695805238,78.90831304194762
1734717286.946269,111.0,171.80327594438552,60.80327594438552
1734717291.955451,268.0,210.87358259572397,57.126417404276026
1734717296.966033,113.0,157.03329164468582,44.03329164468582
1734717301.975857,42.0,127.75224803903907,85.75224803903907
1734717306.985324,118.0,155.51050404974444,37.51050404974444
1734717311.994261,170.0,104.08374518466498,65.91625481533502
1734717317.003539,202.0,147.72007505052477,54.27992494947523
1734717322.012434,220.0,211.85920933166517,8.14079066833483
1734717327.021614,184.0,165.48778814485598,18.512211855144017
1734717332.031098,264.0,244.30072899532888,19.699271004671118
1734717337.040452,225.0,223.08013577465823,1.9198642253417688
1734717342.050004,185.0,158.36452405128574,26.63547594871426
1734717347.059615,111.0,124.51667354531327,13.516673545313267
1734717352.068028,191.0,125.279399604834,65.720600395166
1734717357.076826,220.0,262.6854747166499,42.68547471664988
1734717362.086267,144.0,182.84144086141268,38.84144086141268
1734717367.095575,102.0,106.92918500252972,4.929185002529721
1734717372.10467,283.0,189.1919907507226,93.8080092492774
1734717377.114456,120.0,162.60032245893692,42.600322458936915
1734717382.123928,245.0,252.45178834291073,7.4517883429107314
1734717387.133224,293.0,199.69676012983768,93.30323987016232
1734717392.142247,67.0,187.23613210599729,120.23613210599729
1734717397.151874,84.0,92.86437134294496,8.864371342944963
1734717402.158469,190.0,173.25293019933895,16.747069800661052
1734717407.16714,69.0,111.54550875990512,42.54550875990512
1734718013.095459,51.0,75.16727585048733,24.16727585048733
1734718018.105893,94.0,158.3490236300328,64.3490236300328
1734718023.116214,84.0,174.7880372129362,90.78803721293619
1734718028.125869,102.0,87.66299299506956,14.337007004930442
1734718033.135696,243.0,249.89768596993005,6.897685969930052
1734718038.145868,67.0,129.8425947641542,62.8425947641542
1734718043.155131,201.0,91.37235292749102,109.62764707250898
1734718048.164702,151.0,206.11637746200643,55.116377462006426
1734718053.173944,77.0,78.90917194278398,1.9091719427839848
1734718058.182866,295.0,221.77392889122234,73.22607110877766
1734718063.192486,191.0,125.279399604834,65.720600395166
1734718118.716158,78.0,189.06055137911227,111.06055137911227
1734718123.724398,270.0,236.71124237224717,33.28875762775283
1734718128.731297,132.0,121.22650413525088,10.773495864749123
1734718133.740527,85.0,58.37882693745455,26.621173062545452
1734718138.750112,61.0,145.627557515996,84.62755751599599
1734718143.759326,109.0,108.54802746526389,0.45197253473611454
1734718148.766338,77.0,61.99822774926005,15.001772250739947
1734718153.775335,281.0,253.30735119625587,27.692648803744135
1734718158.78403,248.0,223.740482745929,24.259517254071
1734718163.792268,210.0,151.99864316366757,58.001356836332434
1734718168.802452,262.0,179.7516611004495,82.2483388995505
1734718271.885354,258.0,234.58534354544747,23.414656454552528
1734718276.895141,134.0,153.0424004672249,19.042400467224894
1734718281.905108,220.0,262.6854747166499,42.68547471664988
1734718286.914599,158.0,95.3081803713743,62.691819628625694
1734718291.923447,200.0,144.42650416308084,55.573495836919165
1734718296.93277,122.0,191.53507677898565,69.53507677898565
1734718301.940429,235.0,170.44328576745667,64.55671423254333
1734718306.949431,124.0,176.64745114783543,52.647451147835426
1734718311.958462,175.0,187.18518671300262,12.185186713002622
1734718316.968582,182.0,118.06323326559342,63.936766734406575
